Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name,effect_size,lower_ci,upper_ci
Hammerness 2009,Dizziness,4/57,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hammerness,,,,,,
Hazell 2003,Dizziness,7/9,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hazell,,,,,,
Jafarinia 2012,Dizziness,1/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Jafarinia,,,,,,
Kemner 2005 (FOCUS),Dizziness,7/850,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kemner,,,,,,
Kim 2010,Dizziness,2/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kim,,,,,,
Lee 2007,Dizziness,5/110,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lee,,,,,,
Li 2011,Dizziness,4/34,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Li,,,,,,
Maia 2008,Dizziness,3/39,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maia,,,,,,
McCracken 2016,Dizziness,6/61,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,McCracken,,,,,,
Mohammadi 2004,Dizziness,2/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Mohammadi 2012b,Dizziness,2/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Na 2013,Dizziness,11/103,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Pierce 2010,Dizziness,2/71,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Pierce,,,,,,
Sahin 2014,Dizziness,6/30,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sahin,,,,,,
Shang 2015,Dizziness,1/66,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Shang,,,,,,
Song 2012,Dizziness,15/116,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Song,,,,,,
Wang 2007,Dizziness,12/166,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wang,,,,,,
Wilens 2005,Dizziness,7/407,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Yildiz 2010,Dizziness,2/47,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Drowsiness,Drowsiness,Drowsiness,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Drowsiness,,,,,,
Barrickman 1995,Drowsiness,1/15,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Barrickman,,,,,,
Efron 1997,Drowsiness,22/123,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Efron,,,,,,
El‐Fiky 2014,Drowsiness,2/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,El‐Fiky,,,,,,
Garg 2014,Drowsiness,1/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Garg,,,,,,
Gau 2006,Drowsiness,6/32,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gau,,,,,,
Germinario 2013,Drowsiness,1/9,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Germinario,,,,,,
Ghanizadeh 2012,Drowsiness,2/12,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Ghanizadeh,,,,,,
Green 2011,Drowsiness,2/14,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Green,,,,,,
Hazell 2003,Drowsiness,7/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hazell,,,,,,
Kratochvil 2002,Somnolens,0/40,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kratochvil,,,,,,
Lyon 2010,Drowsiness,2/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lyon,,,,,,
Maia 2008,Drowsiness,1/39,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maia,,,,,,
Sahin 2014,Drowsiness,8/30,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sahin,,,,,,
Song 2012,Somnolence,6/116,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Song,,,,,,
Wilens 2005,Somnolence,10/407,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Wilens 2006,Somnolence,3/220,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Yildiz 2011,Somnolence,1/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Dysthymia,Dysthymia,Dysthymia,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Dysthymia,,,,,,
Haertling 2015,Dysphemia,1/239,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Haertling,,,,,,
Mohammadi 2004,Dysphemia,0/16,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Emotional lability,Emotional lability,Emotional lability,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Emotional,,,,,,
Ardic 2014,Emotional change,22/101,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Ardic,,,,,,
Davari‐Ashtiani 2010,Emotional lability,0/16,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Davari‐Ashtiani,,,,,,
Findling 2009,Emotional lability,5/157,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Findling,,,,,,
Hammerness 2009,Moody,2/57,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hammerness,,,,,,
Kemner 2005 (FOCUS),Emotional disturbance,5/850,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kemner,,,,,,
Kordon 2011,Emotional lability,8/598,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kordon,,,,,,
Kratochvil 2002,Emotional lability,2/25,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kratochvil,,,,,,
Maayan 2009,Emotional lability,2/8,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maayan,,,,,,
McCracken 2016,Affect lability,14/61,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,McCracken,,,,,,
Silva 2004,Emotional lability,4/22,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Silva,,,,,,
Steele 2006,Emotional lability,9/60,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Steele,,,,,,
Warshaw 2010,Affect lability,18/260,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Warshaw,,,,,,
Weiss 2007,Emotional lability,3/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Weiss,,,,,,
Wigal 2013,Affect lability,10/39,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wigal,,,,,,
Wilens 2005,Emotional lability,1/229,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Yildiz 2010,Emotional lability,12/47,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Euphoria/hypomania,Euphoria/hypomania,Euphoria/hypomania,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Euphoria/hypomania,,,,,,
Blader 2010,Unusually happy,12/65,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Blader,,,,,,
El‐Fiky 2014,Euphoria,0/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,El‐Fiky,,,,,,
Gau 2006,Euphoric,3/32,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gau,,,,,,
Grcevich 2001,Agitation,2/75,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Grcevich,,,,,,
Green 2011,Unusually happy,0/14,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Green,,,,,,
Kim 2010,Euphoria,1/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kim,,,,,,
Maia 2008,Euphoric,2/39,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maia,,,,,,
Mohammadi 2004,Euphoria or hypomania,0/16,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Sahin 2014,Ecstasy,8/30,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sahin,,,,,,
Asthenia and fatigue,Asthenia and fatigue,Asthenia and fatigue,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Asthenia,,,,,,
Abbasi 2011,Fatigue,13/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abbasi,,,,,,
Arnold 2004,Asthenia,7/76,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Blader 2010,Tired + low energy,4/65,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Blader,,,,,,
Davari‐Ashtiani 2010,Tiredness,0/16,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Davari‐Ashtiani,,,,,,
Dittmann 2014,Fatigue,0/195,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Dittmann,,,,,,
Döpfner 2011b,Fatigue,0/113,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Galland 2010,Daytime sleepiness,2/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Galland,,,,,,
Garg 2014,Fatigue,2/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Garg,,,,,,
Haertling 2015,Asthenia,1/239,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Haertling,,,,,,
Kemner 2005 (FOCUS),Fatigue,3/850,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kemner,,,,,,
Lee 2007,Fatigue,5/110,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lee,,,,,,
McCracken 2016,Fatigue,5/61,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,McCracken,,,,,,
Mohammadi 2010,Fatigue,4/19,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Na 2013,Fatigue,13/103,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Pierce 2010,Fatigue,3/71,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Pierce,,,,,,
Sangal 2006,Fatigue,3/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sangal,,,,,,
Steele 2006,Fatigue,7/60,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Steele,,,,,,
Wang 2007,Fatigue,5/166,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wang,,,,,,
Wigal 2015,Fatigue,10/200,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wigal,,,,,,
Headache,Headache,Headache,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Headache,,,,,,
Abbas 2006,Headache,2/90,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abbas,,,,,,
Abbasi 2011,Headache,12/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abbasi,,,,,,
Akhondzadeh 2003,Headache,6/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Akhondzadeh,,,,,,
Akhondzadeh 2004,Headache,9/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Akhondzadeh,,,,,,
Altin 2013,Headache,3/25,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Altin,,,,,,
Amiri 2008,Headache,7/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Amiri,,,,,,
Ardic 2014,Headache,16/101,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Ardic,,,,,,
Arnold 2004,Headache,24/76,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Arnold 2010,Headache,12/150,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Atzori 2009,Headache,6/129,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Atzori,,,,,,
Barrickman 1995,Headache,1/15,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Barrickman,,,,,,
Berek 2011,Headache,15/762,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Berek,,,,,,
Blader 2010,Headache,1/65,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Blader,,,,,,
